"","season_name","season","episode","title","day","challenge_type","winners","winning_tribe"
"1","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Amber","Dakal"
"2","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Tyson","Dakal"
"3","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Sandra","Dakal"
"4","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Yul","Dakal"
"5","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Wendell","Dakal"
"6","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Sophie","Dakal"
"7","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Kim","Dakal"
"8","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Nick","Dakal"
"9","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Sarah","Dakal"
"10","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"reward","Tony","Dakal"
"11","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Amber","Dakal"
"12","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Tyson","Dakal"
"13","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Sandra","Dakal"
"14","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Yul","Dakal"
"15","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Wendell","Dakal"
"16","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Sophie","Dakal"
"17","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Kim","Dakal"
"18","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Nick","Dakal"
"19","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Sarah","Dakal"
"20","Survivor: Winners at War",40,1,"Greatest of the Greats",2,"immunity","Tony","Dakal"
"21","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Danni","Sele"
"22","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Ethan","Sele"
"23","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Rob","Sele"
"24","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Parvati","Sele"
"25","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Adam","Sele"
"26","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Jeremy","Sele"
"27","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Denise","Sele"
"28","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Ben","Sele"
"29","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Michele","Sele"
"30","Survivor: Winners at War",40,1,"Greatest of the Greats",3,"immunity","Natalie","Sele"
"31","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Tyson","Dakal"
"32","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Sandra","Dakal"
"33","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Yul","Dakal"
"34","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Wendell","Dakal"
"35","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Sophie","Dakal"
"36","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Kim","Dakal"
"37","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Nick","Dakal"
"38","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Sarah","Dakal"
"39","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"reward","Tony","Dakal"
"40","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Tyson","Dakal"
"41","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Sandra","Dakal"
"42","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Yul","Dakal"
"43","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Wendell","Dakal"
"44","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Sophie","Dakal"
"45","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Kim","Dakal"
"46","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Nick","Dakal"
"47","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Sarah","Dakal"
"48","Survivor: Winners at War",40,2,"It's Like a Survivor Economy",6,"immunity","Tony","Dakal"
"49","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Tyson","Dakal"
"50","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Sandra","Dakal"
"51","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Yul","Dakal"
"52","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Wendell","Dakal"
"53","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Sophie","Dakal"
"54","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Kim","Dakal"
"55","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Nick","Dakal"
